faixa_etaria;renda_mensal;esta_inadimplente;tipos_pendencias;freq_dificuldade_pagamento
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Cartão de crédito, Empréstimos pessoais;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Cartão de crédito;Às vezes
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Às vezes
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Nunca
35 A 44 Anos;Mais De 5 Salários Mínimos;Não;Não possuo pendências;Raramente
Menos De 18 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Raramente
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Raramente
25 A 34 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Raramente
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Raramente
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Às vezes
18 A 24 Anos;Até 1 Salário Mínimo;Não;Contas básicas (águas, luz, internet);Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
45 Ou Mais;Mais De 5 Salários Mínimos;Não;Não possuo pendências;Raramente
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Às vezes
45 Ou Mais;2 A 5 Salários Mínimos;Não;Não possuo pendências;Às vezes
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
Menos De 18 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Até 1 Salário Mínimo;Não;Cartão de crédito;Nunca
18 A 24 Anos;2 A 5 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Cartão de crédito, Financiamentos (carros, casa, etc.);Às vezes
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Raramente
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
45 Ou Mais;Mais De 5 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;2 A 5 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Raramente
18 A 24 Anos;Não Possuo Renda Fixa;Prefiro Não Responder;Não possuo pendências;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Às vezes
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Raramente
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Empréstimos pessoais;Raramente
25 A 34 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Nunca
18 A 24 Anos;Até 1 Salário Mínimo;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Sim, Com Uma Pendência;Cartão de crédito;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Raramente
18 A 24 Anos;Até 1 Salário Mínimo;Sim, Com Uma Pendência;Cartão de crédito;Nunca
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Cartão de crédito;Raramente
18 A 24 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
18 A 24 Anos;1 A 2 Salários Mínimos;Não;Não possuo pendências;Nunca
45 Ou Mais;Mais De 5 Salários Mínimos;Não;Não possuo pendências;Raramente
Menos De 18 Anos;Não Possuo Renda Fixa;Não;Não possuo pendências;Não pago contas
35 A 44 Anos;Mais De 5 Salários Mínimos;Não;Cartão de crédito, Financiamentos (carros, casa, etc.);Às vezes
25 A 34 Anos;2 A 5 Salários Mínimos;Sim, Com Mais De Uma Pendência;Cartão de crédito, Empréstimos pessoais, Contas básicas (águas, luz, internet);Às vezes
25 A 34 Anos;Mais De 5 Salários Mínimos;Não;Cartão de crédito;Nunca
18 A 24 Anos;Mais De 5 Salários Mínimos;Sim, Com Uma Pendência;Empréstimos pessoais;Raramente
18 A 24 Anos;Até 1 Salário Mínimo;Prefiro Não Responder;Cartão de crédito, Contas básicas (águas, luz, internet);Às vezes
25 A 34 Anos;Mais De 5 Salários Mínimos;Não;Não possuo pendências;Nunca
18 A 24 Anos;1 A 2 Salários Mínimos;Sim, Com Uma Pendência;Cartão de crédito, Empréstimos pessoais;Às vezes
